0x0000|－
0x9c52|Centro Pokémon Tohoku
0x9c53|Centro Pokémon Tokyo Bay
0x9c54|Pokémon Store
0x9c55|Campeonato Mundial
0x9c56|Campeonato Mundial 2013
0x9c57|Campeonato Mundial 2014
0x9c58|Campeonato Mundial 2015
0x9c59|Campeonato Mundial 2016
0x9c5a|Campeonato Mundial 2017
0x9c5b|Campeonato Mundial 2018
0x9c5c|Campeonato Mundial
0x9c5d|Campeonato Mundial 2013
0x9c5e|Campeonato Mundial 2014
0x9c5f|Campeonato Mundial 2015
0x9c60|Campeonato Mundial 2016
0x9c61|Campeonato Mundial 2017
0x9c62|Campeonato Mundial 2018
0x9c63|Evento de Videojuegos
0x9c64|Evento Videojuegos 2013
0x9c65|Evento Videojuegos 2014
0x9c66|Evento Videojuegos 2015
0x9c67|Evento Videojuegos 2016
0x9c68|Evento Videojuegos 2017
0x9c69|Evento Videojuegos 2018
0x9c6a|Evento Pokémon
0x9c6b|Torneo
0x9c6c|Evento de Videojuegos
0x9c6d|Club de Fans de Pokémon
0x9c6e|Programa sobre Pokémon
0x9c6f|Concierto Pokémon
0x9c70|Regalo en línea
0x9c71|Pokémon Global Link
0x9c72|Evento Pokémon 2013
0x9c73|Evento Pokémon 2014
0x9c74|Evento Pokémon 2015
0x9c75|Evento Pokémon 2016
0x9c76|Evento Pokémon 2017
0x9c77|Evento Pokémon 2018
0x9c78|Pokémon Festa
0x9c79|Pokémon Festa 2013
0x9c7a|Pokémon Festa 2014
0x9c7b|Pokémon Festa 2015
0x9c7c|Pokémon Festa 2016
0x9c7d|Pokémon Festa 2017
0x9c7e|Pokémon Festa 2018
0x9c7f|PokéPark
0x9c80|PokéPark 2013
0x9c81|PokéPark 2014
0x9c82|PokéPark 2015
0x9c83|PokéPark 2016
0x9c84|PokéPark 2017
0x9c85|PokéPark 2018
0x9c86|Evento
0x9c87|GAME FREAK
0x9c88|Estadio
0x9c89|Camp. de Videojuegos
0x9c8a|Camp. de Videojuegos 2013
0x9c8b|Camp. de Videojuegos 2014
0x9c8c|Camp. de Videojuegos 2015
0x9c8d|Camp. de Videojuegos 2016
0x9c8e|Camp. de Videojuegos 2017
0x9c8f|Camp. de Videojuegos 2018
0xea61|Persona lejana
0xea62|Pareja de la Guardería
0xea63|Buscatesoros
0xea64|Anciana del Balneario
