0x0000|——————
0x9c7d|Pokémon Festa 17
0x9c7e|Pokémon Festa 18
0x9c7f|POKÉPARK
0x9c80|POKÉPARK
0x9c81|POKÉPARK
0x9c82|POKÉPARK
0x9c83|POKÉPARK
0x9c84|POKÉPARK
0x9c85|POKÉPARK
0x9c86|an event site
0x9c87|GAME FREAK
0x9c88|a stadium
0x9c89|a VGC
0x9c8a|the VGC 2013
0x9c8b|the VGC 2014
0x9c8c|the VGC 2015
0x9c8d|the VGC 2016
0x9c8e|the VGC 2017
0x9c8f|the VGC 2018
0xea61|a stranger
0xea62|Day Care helpers
0xea63|a treasure hunter
0xea64|an old hot-springs visitor
